WORD: yapımcı, FREQ: 1
WORD: zeynep, FREQ: 1
WORD: özbatur, FREQ: 1
WORD: senarist, FREQ: 1
WORD: gökhan, FREQ: 1
WORD: tiryaki, FREQ: 1
WORD: ayhan, FREQ: 1
WORD: ergürsel, FREQ: 1
WORD: bora, FREQ: 1
WORD: gökşingöl, FREQ: 1
WORD: cinsi, FREQ: 1
WORD: türü, FREQ: 1
WORD: dram, FREQ: 1
WORD: renk, FREQ: 1
WORD: renkli, FREQ: 1
WORD: yapım, FREQ: 1
WORD: yılı, FREQ: 1
WORD: çıkış, FREQ: 1
WORD: tarih, FREQ: 1
WORD: ler, FREQ: 1
WORD: süre, FREQ: 1
WORD: dakika, FREQ: 1
WORD: ülke, FREQ: 1
WORD: dil, FREQ: 1
WORD: türkçe, FREQ: 1
WORD: adları, FREQ: 1
WORD: ortak, FREQ: 1
WORD: yapımı, FREQ: 1
WORD: den, FREQ: 1
WORD: edilen, FREQ: 1
WORD: üçüncü, FREQ: 1
WORD: beşinci, FREQ: 1
WORD: uzun, FREQ: 1
WORD: metrajlı, FREQ: 1
WORD: başrollerini, FREQ: 1
WORD: paylaştığı, FREQ: 1
WORD: küçük, FREQ: 1
WORD: zaafların, FREQ: 1
WORD: büyük, FREQ: 1
WORD: yalanları, FREQ: 1
WORD: doğurmasıyla, FREQ: 1
WORD: parçalanan, FREQ: 1
WORD: gerçeklerin, FREQ: 1
WORD: üzerini, FREQ: 1
WORD: örterek, FREQ: 1
WORD: arada, FREQ: 1
WORD: kalma, FREQ: 1
WORD: çabasını, FREQ: 1
WORD: anlatır, FREQ: 1
WORD: adı, FREQ: 1
WORD: acı, FREQ: 1
WORD: sorumluluklardan, FREQ: 1
WORD: gerçeği, FREQ: 1
WORD: görmeyerek, FREQ: 1
WORD: duymayarak, FREQ: 1
WORD: gerçekler, FREQ: 1
WORD: hakkında, FREQ: 1
WORD: konuşmayarak, FREQ: 1
WORD: kaçmaya, FREQ: 1
WORD: çalışan, FREQ: 1
WORD: karakterlere, FREQ: 1
WORD: göndermedir, FREQ: 1
WORD: maymunu, FREQ: 1
WORD: oynamanın, FREQ: 1
WORD: gerçekleri, FREQ: 1
WORD: ortadan, FREQ: 1
WORD: kaldırıp, FREQ: 1
WORD: kaldırmayacağını, FREQ: 1
WORD: sorgular, FREQ: 1
WORD: yarışan, FREQ: 1
WORD: nü, FREQ: 1
WORD: kazandıran, FREQ: 1
WORD: dilde, FREQ: 1
WORD: seçilmiş, FREQ: 1
WORD: almayı, FREQ: 1
WORD: başarmıştır, FREQ: 1
WORD: ana, FREQ: 1
WORD: alınan, FREQ: 1
WORD: tek, FREQ: 1
WORD: i̇çindekiler, FREQ: 1
WORD: yaklaşan, FREQ: 1
WORD: seçimlerde, FREQ: 1
WORD: muhalefet, FREQ: 1
WORD: partisinden, FREQ: 1
WORD: iş, FREQ: 1
WORD: adamı, FREQ: 1
WORD: ıssız, FREQ: 1
WORD: yolda, FREQ: 1
