WORD: senarist, FREQ: 1
WORD: oyuncular, FREQ: 1
WORD: lee, FREQ: 1
WORD: cobb, FREQ: 1
WORD: marshall, FREQ: 1
WORD: martin, FREQ: 1
WORD: balsam, FREQ: 1
WORD: john, FREQ: 1
WORD: fiedler, FREQ: 1
WORD: klugman, FREQ: 1
WORD: edward, FREQ: 1
WORD: binns, FREQ: 1
WORD: warden, FREQ: 1
WORD: joseph, FREQ: 1
WORD: sweeney, FREQ: 1
WORD: ed, FREQ: 1
WORD: begley, FREQ: 1
WORD: voskovec, FREQ: 1
WORD: robert, FREQ: 1
WORD: webber, FREQ: 1
WORD: müzik, FREQ: 1
WORD: kenyon, FREQ: 1
WORD: hopkins, FREQ: 1
WORD: görüntü, FREQ: 1
WORD: boris, FREQ: 1
WORD: kaufman, FREQ: 1
WORD: kurgu, FREQ: 1
WORD: carl, FREQ: 1
WORD: lerner, FREQ: 1
WORD: dağıtıcı, FREQ: 1
WORD: united, FREQ: 1
WORD: artists, FREQ: 1
WORD: cinsi, FREQ: 1
WORD: renk, FREQ: 1
WORD: siyah, FREQ: 1
WORD: beyaz, FREQ: 1
WORD: yılı, FREQ: 1
WORD: çıkış, FREQ: 1
WORD: tarih, FREQ: 1
WORD: süre, FREQ: 1
WORD: dk, FREQ: 1
WORD: dil, FREQ: 1
WORD: bütçe, FREQ: 1
WORD: yapımı, FREQ: 1
WORD: drama, FREQ: 1
WORD: filmidir, FREQ: 1
WORD: oyunundan, FREQ: 1
WORD: uyarlanan, FREQ: 1
WORD: duruşmada, FREQ: 1
WORD: üyesini, FREQ: 1
WORD: şüphelinin, FREQ: 1
WORD: olduğu, FREQ: 1
WORD: makul, FREQ: 1
WORD: şüphe, FREQ: 1
WORD: temelinde, FREQ: 1
WORD: ikna, FREQ: 1
WORD: etme, FREQ: 1
WORD: çabaları, FREQ: 1
WORD: hakkındadır, FREQ: 1
WORD: neredeyse, FREQ: 1
WORD: set, FREQ: 1
WORD: kullanılarak, FREQ: 1
WORD: çekilmiş, FREQ: 1
WORD: olma, FREQ: 1
WORD: özelliği, FREQ: 1
WORD: dikkate, FREQ: 1
WORD: değerdir, FREQ: 1
WORD: başında, FREQ: 1
WORD: sonundaki, FREQ: 1
WORD: dakikalık, FREQ: 1
WORD: gösterim, FREQ: 1
WORD: süresi, FREQ: 1
WORD: bitişikteki, FREQ: 1
WORD: lavabo, FREQ: 1
WORD: sahneleri, FREQ: 1
WORD: mekân, FREQ: 1
WORD: odası, FREQ: 1
WORD: kullanılır, FREQ: 1
WORD: filmdir, FREQ: 1
WORD: i̇ki, FREQ: 1
WORD: mahkeme, FREQ: 1
WORD: binasından, FREQ: 1
WORD: ayrılmaları, FREQ: 1
WORD: esnasında, FREQ: 1
WORD: birbirlerine, FREQ: 1
WORD: isimlerini, FREQ: 1
WORD: söylemeleri, FREQ: 1
WORD: isim, FREQ: 1
WORD: kullanılmaz, FREQ: 1
WORD: davalı, FREQ: 1
WORD: tanıklar, FREQ: 1
WORD: karşı, FREQ: 1
WORD: sokaktaki, FREQ: 1
WORD: şeklinde, FREQ: 1
WORD: anılır, FREQ: 1
WORD: yılında, FREQ: 1
WORD: amerika, FREQ: 1
WORD: birleşik, FREQ: 1
WORD: devletleri, FREQ: 1
WORD: kongre, FREQ: 1
WORD: kütüphanesi, FREQ: 1
WORD: tarafından, FREQ: 1
WORD: kültürel, FREQ: 1
WORD: estetik, FREQ: 1
WORD: önemli, FREQ: 1
WORD: arasına, FREQ: 1
WORD: seçilerek, FREQ: 1
