WORD: yapımcı, FREQ: 1
WORD: şükrü, FREQ: 1
WORD: senarist, FREQ: 1
WORD: tuba, FREQ: 1
WORD: büyüküstün, FREQ: 1
WORD: müzik, FREQ: 1
WORD: stüdyo, FREQ: 1
WORD: dağıtıcı, FREQ: 1
WORD: özen, FREQ: 1
WORD: cinsi, FREQ: 1
WORD: türü, FREQ: 1
WORD: dram, FREQ: 1
WORD: renk, FREQ: 1
WORD: renkli, FREQ: 1
WORD: yapım, FREQ: 1
WORD: yılı, FREQ: 1
WORD: çıkış, FREQ: 1
WORD: tarih, FREQ: 1
WORD: ler, FREQ: 1
WORD: kasım, FREQ: 1
WORD: süre, FREQ: 1
WORD: dakika, FREQ: 1
WORD: ülke, FREQ: 1
WORD: dil, FREQ: 1
WORD: türkçe, FREQ: 1
WORD: bütçe, FREQ: 1
WORD: hasılat, FREQ: 1
WORD: tl, FREQ: 1
WORD: yapımı, FREQ: 1
WORD: okumak, FREQ: 1
WORD: ayrılan, FREQ: 1
WORD: yıllar, FREQ: 1
WORD: oğluyla, FREQ: 1
WORD: beraber, FREQ: 1
WORD: yeniden, FREQ: 1
WORD: dönüşünün, FREQ: 1
WORD: arka, FREQ: 1
WORD: planında, FREQ: 1
WORD: aktarıldığı, FREQ: 1
WORD: filmin, FREQ: 1
WORD: senaryosunu, FREQ: 1
WORD: yazdı, FREQ: 1
WORD: izleyici, FREQ: 1
WORD: sınırını, FREQ: 1
WORD: aşan, FREQ: 1
WORD: nadir, FREQ: 1
WORD: filmlerden, FREQ: 1
WORD: olma, FREQ: 1
WORD: başarısını, FREQ: 1
WORD: gösterdi, FREQ: 1
WORD: yılında, FREQ: 1
WORD: izleyicilerin, FREQ: 1
WORD: oyladığı, FREQ: 1
WORD: dünyaca, FREQ: 1
WORD: ünlü, FREQ: 1
WORD: sitesinde, FREQ: 1
WORD: aldıgı, FREQ: 1
WORD: puan, FREQ: 1
WORD: sıraya, FREQ: 1
WORD: yerleşerek, FREQ: 1
WORD: eşi, FREQ: 1
WORD: benzeri, FREQ: 1
WORD: görülmemiş, FREQ: 1
WORD: rekora, FREQ: 1
WORD: imza, FREQ: 1
WORD: atmıştır, FREQ: 1
WORD: üniversitede, FREQ: 1
WORD: eğitimi, FREQ: 1
WORD: ayrılmıştır, FREQ: 1
WORD: ziraat, FREQ: 1
WORD: mühendisliği, FREQ: 1
WORD: okuyup, FREQ: 1
WORD: çiftliğin, FREQ: 1
WORD: idaresini, FREQ: 1
WORD: eline, FREQ: 1
WORD: almasını, FREQ: 1
WORD: istemektedir, FREQ: 1
WORD: üniversite, FREQ: 1
WORD: yıllarında, FREQ: 1
WORD: politikayla, FREQ: 1
WORD: aktif, FREQ: 1
WORD: ilgilenir, FREQ: 1
WORD: öğrenen, FREQ: 1
WORD: oğlunu, FREQ: 1
WORD: evlatlıktan, FREQ: 1
WORD: reddeder, FREQ: 1
WORD: li, FREQ: 1
WORD: yıllarda, FREQ: 1
WORD: siyasi, FREQ: 1
WORD: olaya, FREQ: 1
WORD: karışan, FREQ: 1
WORD: zor, FREQ: 1
WORD: günler, FREQ: 1
WORD: beklemektedir, FREQ: 1
