WORD: senarist, FREQ: 1
WORD: görüntü, FREQ: 1
WORD: yönetmeni, FREQ: 1
WORD: andrzej, FREQ: 1
WORD: sekula, FREQ: 1
WORD: kurgu, FREQ: 1
WORD: sally, FREQ: 1
WORD: menke, FREQ: 1
WORD: cinsi, FREQ: 1
WORD: türü, FREQ: 1
WORD: suç, FREQ: 1
WORD: dram, FREQ: 1
WORD: gerilim, FREQ: 1
WORD: renkli, FREQ: 1
WORD: eastmancolor, FREQ: 1
WORD: yapım, FREQ: 1
WORD: yılı, FREQ: 1
WORD: çıkış, FREQ: 1
WORD: tarih, FREQ: 1
WORD: ler, FREQ: 1
WORD: i̇ngilizce, FREQ: 1
WORD: orijinal, FREQ: 1
WORD: adıyla, FREQ: 1
WORD: amerikalı, FREQ: 1
WORD: ilk, FREQ: 1
WORD: senaryosunuda, FREQ: 1
WORD: kendisinin, FREQ: 1
WORD: sinemaya, FREQ: 1
WORD: alışılmadık, FREQ: 1
WORD: tarz, FREQ: 1
WORD: getirdi, FREQ: 1
WORD: bol, FREQ: 1
WORD: kanlı, FREQ: 1
WORD: sahneleri, FREQ: 1
WORD: neredeyse, FREQ: 1
WORD: hiçbir, FREQ: 1
WORD: ifade, FREQ: 1
WORD: etmeyen, FREQ: 1
WORD: karmaşık, FREQ: 1
WORD: tarzı, FREQ: 1
WORD: filmlerinin, FREQ: 1
WORD: öncüsü, FREQ: 1
WORD: diyebiliriz, FREQ: 1
WORD: aktör, FREQ: 1
WORD: oyuncu, FREQ: 1
WORD: alır, FREQ: 1
WORD: hasılata, FREQ: 1
WORD: ulaşmıştır, FREQ: 1
WORD: i̇çindekiler, FREQ: 1
WORD: soldan, FREQ: 1
WORD: sağa, FREQ: 1
WORD: filmden, FREQ: 1
WORD: sahne, FREQ: 1
WORD: büyük, FREQ: 1
WORD: elmas, FREQ: 1
WORD: mağazasını, FREQ: 1
WORD: soymak, FREQ: 1
WORD: oğlunun, FREQ: 1
WORD: dahil, FREQ: 1
WORD: olduğu, FREQ: 1
WORD: ekip, FREQ: 1
WORD: hazırlar, FREQ: 1
WORD: isimlerini, FREQ: 1
WORD: kod, FREQ: 1
WORD: isim, FREQ: 1
WORD: kullanan, FREQ: 1
WORD: adı, FREQ: 1
WORD: i̇şinin, FREQ: 1
WORD: ehli, FREQ: 1
WORD: gözüken, FREQ: 1
WORD: ekipte, FREQ: 1
WORD: oğlu, FREQ: 1
WORD: soygunun, FREQ: 1
WORD: planları, FREQ: 1
WORD: yapılır, FREQ: 1
WORD: ince, FREQ: 1
WORD: gözden, FREQ: 1
WORD: geçirilmiştir, FREQ: 1
WORD: soygun, FREQ: 1
WORD: planlandığı, FREQ: 1
WORD: işlemez, FREQ: 1
WORD: mağazaya, FREQ: 1
WORD: gelindiğinde, FREQ: 1
WORD: tuzağa, FREQ: 1
WORD: düşerler, FREQ: 1
WORD: olduğunun, FREQ: 1
WORD: farkına, FREQ: 1
WORD: varırlar, FREQ: 1
WORD: silahını, FREQ: 1
WORD: çekeceğini, FREQ: 1
WORD: kimden, FREQ: 1
WORD: şüpeleneceğini, FREQ: 1
WORD: bilemez, FREQ: 1
WORD: durumdadır, FREQ: 1
WORD: silahlar, FREQ: 1
WORD: çekilir, FREQ: 1
WORD: etraf, FREQ: 1
WORD: bi, FREQ: 1
WORD: anda, FREQ: 1
WORD: kan, FREQ: 1
WORD: gölüne, FREQ: 1
WORD: döner, FREQ: 1
WORD: soyguncuların, FREQ: 1
WORD: kısmı, FREQ: 1
WORD: depoya, FREQ: 1
WORD: sığınır, FREQ: 1
WORD: depo, FREQ: 1
WORD: içerisindede, FREQ: 1
WORD: hesaplaşma, FREQ: 1
WORD: öndeki, FREQ: 1
WORD: kişi, FREQ: 1
WORD: arkadaki, FREQ: 1
WORD: ikili, FREQ: 1
WORD: rolü, FREQ: 1
WORD: bulunan, FREQ: 1
WORD: dimmick, FREQ: 1
WORD: turuncu, FREQ: 1
WORD: freddy, FREQ: 1
WORD: newandyke, FREQ: 1
WORD: victor, FREQ: 1
WORD: vega, FREQ: 1
WORD: edward, FREQ: 1
WORD: bunker, FREQ: 1
WORD: mavi, FREQ: 1
WORD: kahverengi, FREQ: 1
WORD: eddie, FREQ: 1
WORD: kirk, FREQ: 1
WORD: baltz, FREQ: 1
WORD: marvin, FREQ: 1
WORD: nash, FREQ: 1
WORD: randy, FREQ: 1
WORD: brooks, FREQ: 1
WORD: dedektif, FREQ: 1
WORD: holdaway, FREQ: 1
WORD: genç, FREQ: 1
WORD: linda, FREQ: 1
WORD: kaye, FREQ: 1
WORD: vurulan, FREQ: 1
WORD: kadın, FREQ: 1
WORD: nina, FREQ: 1
